Richard "Groove" Holmes,Misty,e4fe6767023e1087b53bc7acd58079e778d06e7a?cid=e5d3592c12cd45889d547046f5344866,"Groove" HolmesMisty,NULL
,,,Baby WashingtonHey Lonely One,
,,,Baby WashingtonIt'll Never Be Over For Me,
Baby Washington,|Or, Leave Me Alone|,c91f69aedb05916fe8893451d7508e3defb2b8d3?cid=e5d3592c12cd45889d547046f5344866,Baby WashingtonLeave Me Alone,
,,,Baby WashingtonOnly Those In Love,
,,,Baby WashingtonThat's How Heartaches Are Made,
,,,Baby WashingtonThe Clock,
,,,Babyface (Featuring Toni Braxton)Give U My Heart (From "Boomerang"),NULL
Babyface,|This Is for the Lover In You (feat. LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels)|,0b83be8fd88a3000b027de602ce6a86bb7593e56?cid=e5d3592c12cd45889d547046f5344866,|Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey DanielsThis Is For The Lover In You|,NULL
Babyface,And Our Feelings,2fbb98fc284d3296bf2c5f71d9225c6aa9d2fc2f?cid=e5d3592c12cd45889d547046f5344866,BabyfaceAnd Our Feelings,
Babyface,|Every Time I Close My Eyes (with Mariah Carey, Kenny G & Sheila E.)|,593c46b0216e7815f50544b6749f718cd2461db2?cid=e5d3592c12cd45889d547046f5344866,BabyfaceEvery Time I Close My Eyes,
Babyface,|This Is for the Lover In You (feat. LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels)|,0b83be8fd88a3000b027de602ce6a86bb7593e56?cid=e5d3592c12cd45889d547046f5344866,BabyfaceFor The Cool In You,
Babyface,It's No Crime,48ce9008d5b62a15051b6336c900e383f5bbfb6f?cid=e5d3592c12cd45889d547046f5344866,BabyfaceIt's No Crime,
Babyface,My Kinda Girl,360d75de1f87d8c06527ccbd58b9abea1cfcaca4?cid=e5d3592c12cd45889d547046f5344866,BabyfaceMy Kinda Girl,
Babyface,Never Keeping Secrets,311d45db3ba1cf380c3a5805f684a11f66a2cc63?cid=e5d3592c12cd45889d547046f5344866,BabyfaceNever Keeping Secrets,
Babyface,Tender Lover,ba84f91cc2af0dd784ee2fe428eedb145a359039?cid=e5d3592c12cd45889d547046f5344866,BabyfaceTender Lover,
Babyface,There She Goes,faf00d89815c764afa00a42100b7b3ebdee537dd?cid=e5d3592c12cd45889d547046f5344866,BabyfaceThere She Goes,
Babyface,What If - Urban Mix,064013c0a02e4a690f5c65eee8f0d08f84188be4?cid=e5d3592c12cd45889d547046f5344866,BabyfaceWhat If,
Babyface,Whip Appeal - 12-inch Version,424d4734a61041ebdf500f9ae75f228aaa652339?cid=e5d3592c12cd45889d547046f5344866,BabyfaceWhip Appeal,
Bachman-Turner Overdrive,Blue Collar - Live,e693939b2fa1c700dc275f798c9ad34361944cb4?cid=e5d3592c12cd45889d547046f5344866,Bachman-Turner OverdriveBlue Collar,
,,,Bachman-Turner OverdriveDown To The Line,
Bachman-Turner Overdrive,Gimme Your Money Please - Live,90e93c2c0f6084cc3307029f42a27aaaa7722369?cid=e5d3592c12cd45889d547046f5344866,Bachman-Turner OverdriveGimme Your Money Please,
Bachman-Turner Overdrive,Hey You - Live,d73055b6fb2eeaa17f3588e2a65c1fc942ab432a?cid=e5d3592c12cd45889d547046f5344866,Bachman-Turner OverdriveHey You,
Bachman-Turner Overdrive,Let It Ride - Live,cfa42122470e1f440467b4d0770905941e1e57fa?cid=e5d3592c12cd45889d547046f5344866,Bachman-Turner OverdriveLet It Ride,
,,,Bachman-Turner OverdriveLookin' Out For #1,
Bachman-Turner Overdrive,Roll On Down The Highway - Live,87e29a3865a11b08253cc83c0a8d92451dde37eb?cid=e5d3592c12cd45889d547046f5344866,Bachman-Turner OverdriveRoll On Down The Highway,
,,,Bachman-Turner OverdriveTake It Like A Man,
Bachman-Turner Overdrive,Takin' Care Of Business - Live,c47b223f2f57c3e6d7b3314c5d9f839401cde601?cid=e5d3592c12cd45889d547046f5344866,Bachman-Turner OverdriveTakin' Care Of Business,
,,none,Bachman-Turner OverdriveYou Ain't Seen Nothing Yet/Free Wheelin',1oojGBUxbMSrvrBnQ1DaBc
Backstreet Boys,All I Have to Give,a2e4a37d486fbf861214a2976879a90afe5337f3?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysAll I Have To Give,
Backstreet Boys,Don't Go Breaking My Heart,34bed9f45b658ca1949015b6e9efd15cd7c7c089?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysDon't Go Breaking My Heart,NULL
Backstreet Boys,Drowning,5015ff4fdf511e0b60659a6b352b6b7eedbd434e?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysDrowning,
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit,331ae7f182384985b601fc75ae7f0e7a0c821de5?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysEverybody [Backstreet's Back],NULL
Backstreet Boys,I Want It That Way,e72a05dc3f69c891e3390c3ceaa77fad02f6b5f6?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysI Want It That Way,
Backstreet Boys,I'll Never Break Your Heart,20d6f33c4f8c9f9195e7eb8ab14b64a43a57dbea?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysI'll Never Break Your Heart,
Backstreet Boys,Incomplete,d54a622ec8a3bce1ef010f3106271a14563d8494?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysIncomplete,
Backstreet Boys,Inconsolable,349949f13dbaf641010a50d875b4e8e5d0793b1d?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysInconsolable,
Backstreet Boys,Just Want You to Know,3d62e966d5b82882604390151cfaecaf463667c9?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysJust Want You To Know,
Backstreet Boys,Larger Than Life,740ac3a10a01431d8b00bcb3134c7c7feb0b61ac?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysLarger Than Life,
Backstreet Boys,More Than That,29b3ab5248c7bc2f6c5a52e4479758ada294713d?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysMore Than That,
Backstreet Boys,Quit Playing Games (With My Heart),3b62beeb31e777f088b9a1ff59e732947e5805ae?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysQuit Playing Games (With My Heart),
Backstreet Boys,Shape of My Heart,511a3075ab4e6adcc1f85b938afa9a06a24ea7cf?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysShape Of My Heart,
Backstreet Boys,Show Me the Meaning of Being Lonely,cfed9c2d2d5e507ec4e91018fbd8a8ba281e9c70?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysShow Me The Meaning Of Being Lonely,
Backstreet Boys,The Call,f098cdc2fe7f95ab96e203751eb800d01cda80cd?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysThe Call,
Backstreet Boys,The One,0caafcb2ceef446b02a96cf056b1a6fdc6eb9ef4?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysThe One,
Backstreet Boys,We've Got It Goin' On - Radio Edit,787996e9be68ed3e2395485b46323f0b953f8d44?cid=e5d3592c12cd45889d547046f5344866,Backstreet BoysWe've Got It Goin' On,
Bad Boy's Da Band,Bad Boy This Bad Boy That,3acb9a8acdaa38011a9b80a2cdb7059eb93470d4?cid=e5d3592c12cd45889d547046f5344866,Bad Boy's Da BandBad Boy This Bad Boy That,
Bad Boys Blue,Save Your Love,e7092339e4aa7ad6755b1f225ead6e8bf083683d?cid=e5d3592c12cd45889d547046f5344866,Bad Boys BlueSave Your Love,
Bad Bunny,Callaita,23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=e5d3592c12cd45889d547046f5344866,Bad Bunny & TainyCallaita,NULL
Bad Bunny,Solo de Mi,73805f85fe35d6269b7d453af324e2ec2b49faad?cid=e5d3592c12cd45889d547046f5344866,Bad BunnySolo de Mi,NULL
Bad Company,Burnin' Sky - 2017 Remaster,bd992c32af92adb3b222da641d7b2b7dadf67f12?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyBurnin' Sky,NULL
Bad Company,Electricland - Remastered Version,39d9428812e970c17184ab6349636c2a4f2d986a?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyElectricland,
Bad Company,Feel Like Makin' Love - 2015 Remastered Version,96a755f91a8373502212a3947e2987593e08c8a6?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyFeel Like Makin' Love,
Bad Company,Good Lovin' Gone Bad - 2015 Remastered Version,4073dcba32bb2872848a3a5b65d619d3b869dc89?cid=e5d3592c12cd45889d547046f5344866,|Bad CompanyGone, Gone, Gone|,
Bad Company,Good Lovin' Gone Bad - 2015 Remastered Version,4073dcba32bb2872848a3a5b65d619d3b869dc89?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyGood Lovin' Gone Bad,
Bad Company,Holy Water,a56ef4a14f9ceac91121145d3ad1bdef3f9521f4?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyHoly Water,
Bad Company,Honey Child - 2015 Remastered Version,1ec94817f41b93a2af73cc5931bcd3a2072787f4?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyHoney Child,
Bad Company,How About That,ac141e34944b42803a253c0cd27890cbd4ba06f0?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyHow About That,
Bad Company,If You Needed Somebody,251da7891b85335ad84b801a47b526b709eb819b?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyIf You Needed Somebody,
Bad Company,Movin' On - 2015 Remaster,da0541f72cd70791b371a53bc6ec4c4a965c1fdd?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyMovin' On,
Bad Company,Rock 'n' Roll Fantasy - Remastered Version,bedc474610f626c5f805e3f584a839e117db0762?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyRock 'n' Roll Fantasy,
Bad Company,Shake It Up,91b92db4bf5e49420d5c2b7f7ba04b4149b11606?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyShake It Up,
Bad Company,This Could Be the One,66b4a4a520a02d1d2e9f2e8a556406bb322ceb49?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyThis Could Be The One,
Bad Company,This Love,d6971b11439ad098d8448df5b1d368cc7bf499e5?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyThis Love,
Bad Company,Walk Through Fire,906d388d1b223b9e959395fe7cd06e71a886ed2a?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyWalk Through Fire,
Bad Company,Young Blood - Alternative Version 2,32e39a60def288aea9cf4a239a9a8d6be661dd43?cid=e5d3592c12cd45889d547046f5344866,Bad CompanyYoung Blood,
Bad English,Forget Me Not,6ee24edcfaf45cb53c4b5f327cb5416a0655ae7a?cid=e5d3592c12cd45889d547046f5344866,Bad EnglishForget Me Not,
Bad English,Heaven Is A 4 Letter Word,4d948b06af482d9926c4f5ab49ac4a476d536a28?cid=e5d3592c12cd45889d547046f5344866,Bad EnglishHeaven Is A 4 Letter Word,
Bad English,Possession,c5decfbd22a9062f7b291e5b880db5fa2a5ce129?cid=e5d3592c12cd45889d547046f5344866,Bad EnglishPossession,
Bad English,Straight to Your Heart,399d5ec9c93fe4da2a26eb3a3bda8bb7921f259b?cid=e5d3592c12cd45889d547046f5344866,Bad EnglishStraight To Your Heart,
Ultimate Party Jams,Fast Lane,64ea3b8a596dde0ae7a4b886c828d0c0d0451735?cid=e5d3592c12cd45889d547046f5344866,Bad Meets EvilFast Lane,
Bad Wolves,Zombie,4978147ac417f06049825616fdd66cabdb566ae7?cid=e5d3592c12cd45889d547046f5344866,Bad WolvesZombie,NULL
Badfinger,Baby Blue - Live,4894443e2d39b7dda146d76a9ca72ccf72d8cc94?cid=e5d3592c12cd45889d547046f5344866,BadfingerBaby Blue,
Badfinger,Come and Get It - Rerecording,2d77b1be00155ab56be176e865504bf89dc2fbbe?cid=e5d3592c12cd45889d547046f5344866,BadfingerCome And Get It,
,,,BadfingerHold On,
Badfinger,Love Is Gonna Come at Last,fcd70b56e591494ee307f0eb43d04b0b5a28bbe6?cid=e5d3592c12cd45889d547046f5344866,BadfingerLove Is Gonna Come At Last,
Badfinger,No Matter What - Rerecording,ced1c313914f50668d3d6ab95cd7a3a2bc5cb05a?cid=e5d3592c12cd45889d547046f5344866,BadfingerNo Matter What,
,,,Baha Men With Imani CoppolaYou All Dat,NULL
Baha Men,Who Let the Dogs Out,48f94a86928b327f17a74657ec057eae84af5cf9?cid=e5d3592c12cd45889d547046f5344866,Baha MenWho Let The Dogs Out,
,,,Baja Marimba BandAlong Comes Mary,
,,,Baja Marimba BandGeorgy Girl,
,,,Baja Marimba BandGhost Riders In The Sky,
Balance,Breaking Away,5fbbcf0bc893f01e9cb0afe781d844a0044bece0?cid=e5d3592c12cd45889d547046f5344866,BalanceBreaking Away,
Balance,Falling In Love,f91488feb7cc6de996c877bf10015ef48a0ca10e?cid=e5d3592c12cd45889d547046f5344866,BalanceFalling In Love,
,,,Ballin' JackSuper Highway,NULL
Baltimora,Living in the Background - Maxi Mix,e1c08ec96c4b79af460d069e1031a3aa503960d2?cid=e5d3592c12cd45889d547046f5344866,BaltimoraLiving In The Background,
,,,BaltimoraTarzan Boy (From "Teenage Mutant Ninja Turtles III"),NULL
,,,BamaTouch Me When We're Dancing,NULL
Bananarama,A Trick Of The Night - 7" Version,e8e3acba3d16de3791808ded93ad1e2ead53c91b?cid=e5d3592c12cd45889d547046f5344866,BananaramaA Trick Of The Night,
Bananarama,Cruel Summer,a6b3f58b1c94d2e14ec7f95eb7970bf87fbf2d5d?cid=e5d3592c12cd45889d547046f5344866,BananaramaCruel Summer,
Bananarama,I Can't Help It,29a9f7a2d78da893fbf1bf48ef189a03e8345d0f?cid=e5d3592c12cd45889d547046f5344866,BananaramaI Can't Help It,
,,,BananaramaI Heard A Rumour (From "Disorderlies"),NULL
Bananarama,Love in the First Degree,15e679f1134d00301f9213c8dddfbc09611479ef?cid=e5d3592c12cd45889d547046f5344866,BananaramaLove In The First Degree,
Bananarama,|Love, Truth & Honesty|,6865bea0390c4e4719aa000b1d691eec635a9e5a?cid=e5d3592c12cd45889d547046f5344866,|BananaramaLove, Truth & Honesty|,NULL
Bananarama,More Than Physical - DJ Edit,d7aced522ba97194920f01851f5143d4aed14e1a?cid=e5d3592c12cd45889d547046f5344866,BananaramaMore Than Physical,
Bananarama,Robert De Niro's Waiting... - 7" Version,e6718f16b8fc2366f5811cb49933391b3da47b38?cid=e5d3592c12cd45889d547046f5344866,BananaramaRobert de Niro's Waiting,NULL
Done Again,Shy Boy (Don't It Make You Feel Good) - Single [In the Style of Bananarama] {Performance Track with Demonstration Vocals},6e55350abd481f619175f258371dcf7f1c246949?cid=e5d3592c12cd45889d547046f5344866,BananaramaShy Boy (Don't It Make You Feel Good),
Bananarama,The Wild Life - 7" Version,b3ca3d1baeaabe95823277f78af1bfdee58fdef5?cid=e5d3592c12cd45889d547046f5344866,BananaramaThe Wild Life,
Singer's Edge Karaoke,Do They Know It's Christmas 2014 (Originally Performed by Band Aid 30) [Vocal Version],,Band Aid 30Do They Know It's Christmas? (2014),NULL
,,,Band Of GoldMedley: Love Songs Are Back Again,
Band Aid,|Do They Know It's Christmas? - Live at Live Aid, Wembley Stadium, 13th July 1985|,ce1806e4ad6a8573bb8186e299d3ec735c012845?cid=e5d3592c12cd45889d547046f5344866,Band-AidDo They Know It's Christmas?,NULL
Bandit Gang Marco,Nasty (feat. Dro),c01b0ed4e57094c07267c17b8fcea985b87762d5?cid=e5d3592c12cd45889d547046f5344866,Bandit Gang Marco Featuring DroNasty,NULL
Bandit,One Way Love,838b0e5a03d57dfdf2124dc8f56a59babc0ff792?cid=e5d3592c12cd45889d547046f5344866,BanditOne Way Love,
Big Brother & The Holding Company,Piece of My Heart,0051c0d80007103c5a0ffd0ad0bee143673abf11?cid=e5d3592c12cd45889d547046f5344866,BangHolding My Heart,NULL
Bang,Questions,1abe7140fd561b15879f945a97f44e0cc341e35d?cid=e5d3592c12cd45889d547046f5344866,BangQuestions,
Banzaii,Chinese Kung Fu,1f2fab9cbaa2a6b612a2922b5c889a5d704bcaa9?cid=e5d3592c12cd45889d547046f5344866,BanzaiiChinese Kung Fu,
The Bar-Kays,Freakshow on the Dance Floor,6193f64832f34abad7a51bc0ae093e1dbac0559a?cid=e5d3592c12cd45889d547046f5344866,Bar-KaysFreakshow On The Dance Floor,
The Bar-Kays,Knucklehead,0c217b8ec2db44060d851b59b4238e114c065608?cid=e5d3592c12cd45889d547046f5344866,Bar-KaysKnucklehead,
The Bar-Kays,Move Your Boogie Body,1a58e0464ed52de9e94796c8246419dbcc7867c4?cid=e5d3592c12cd45889d547046f5344866,Bar-KaysMove Your Boogie Body,
The Bar-Kays,Soul Finger,d4d605bea1f142ba5a8f2981385bb1aa04434d2d?cid=e5d3592c12cd45889d547046f5344866,Bar-KaysSoul Finger,
,,,Bar-KaysToday Is The Day,
Barbara & The Browns,Big Party,7120771f023a2e4e51a741f028aa5cef6e5bf28a?cid=e5d3592c12cd45889d547046f5344866,Barbara & The BrownsBig Party,NULL
Barbara Acklin,Am I The Same Girl,d023875ebb50ed135034b0fcb3ebdbb54d64f011?cid=e5d3592c12cd45889d547046f5344866,Barbara AcklinAm I The Same Girl,
Barbara Acklin,Just Ain't No Love,3bb1a73536892673252fd91929ae87dea090ca50?cid=e5d3592c12cd45889d547046f5344866,Barbara AcklinJust Ain't No Love,
Barbara Acklin,Love Makes A Woman,4f3cc631d13411b87a803062554df8b93eeb248b?cid=e5d3592c12cd45889d547046f5344866,Barbara AcklinLove Makes A Woman,
,,,Barbara And The UniquesThere It Goes Again,NULL
Barbara Fairchild,Kid Stuff,2a8572dcf1a5c875fad3752d3987bfd44c5b351f?cid=e5d3592c12cd45889d547046f5344866,Barbara FairchildKid Stuff,
Barbara Fairchild,Teddy Bear Song,7d0a80f7a19ab1dd11665ec4072257217eef8063?cid=e5d3592c12cd45889d547046f5344866,Barbara FairchildTeddy Bear Song,
Barbara George,I Know (You Don't Love Me No More),75b164690db660c8edc64fe5273efc8d958b52db?cid=e5d3592c12cd45889d547046f5344866,Barbara GeorgeI Know (You Don't Love Me No More),
Barbara George,Send For Me If You Need Some Lovin' (Bonus Track),2bce916c952cb2637354d06c50d6adc2ebda9634?cid=e5d3592c12cd45889d547046f5344866,Barbara GeorgeSend For Me (If you need some Lovin),NULL
Barbara George,You Talk About Love,d8689cd4f9d76445ddc53ffdbba2a4041fab2351?cid=e5d3592c12cd45889d547046f5344866,Barbara GeorgeYou Talk About Love,
Barbara Greene,Young Boy,0d3fccad3bb39c290d9b1a6f4077828843287ed9?cid=e5d3592c12cd45889d547046f5344866,Barbara GreeneYoung Boy,
Barbara Lewis,Baby What Do You Want Me to Do,0c29db1f45a6e1b368e8c568866df48405823d82?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisBaby What Do You Want Me To Do,
Barbara Lewis,|Baby, I'm Yours|,343a0752498a8fb59699a29150b90c1806bc2944?cid=e5d3592c12cd45889d547046f5344866,|Barbara LewisBaby, I'm Yours|,
Barbara Lewis,Don't Forget About Me,11d5508c4f0c7790c2b26fd1147b785401375c6f?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisDon't Forget About Me,
Barbara Lewis,I'll Make Him Love Me,30c69ff4062e6a71acdc5cd2e6f517cfd8df56d5?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisI'll Make Him Love Me,
Barbara Lewis,Make Me Belong to You,113997bee0054fe608cd58bb8075515e03b12727?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisMake Me Belong To You,
Barbara Lewis,Make Me Your Baby,04d32639ba3cb95b85a82afa766c62d2741a01bf?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisMake Me Your Baby,
Barbara Lewis,Puppy Love,bd7828261051429fd1c4aaededa4211ddb86880c?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisPuppy Love,
Barbara Lewis,Snap Your Fingers,a4691757d777b15e80ce88da8d7cf944ec581be6?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisSnap Your Fingers,
Barbara Lewis,Straighten up Your Heart,33580ad567890c6ebd22dc9c6204adf0b4ab3a81?cid=e5d3592c12cd45889d547046f5344866,Barbara LewisStraighten Up Your Heart,
Barbara Lynn,(I Cried At) Laura's Wedding,31d79bfd866c910c4fe0b619e0e0ee8f5d8c3622?cid=e5d3592c12cd45889d547046f5344866,Barbara Lynn(I Cried at) Laura's Wedding,
Barbara Lynn,Don't Be Cruel,b4465f9f7333780815f56c578cf8aabf86226a50?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnDon't Be Cruel,
Barbara Lynn,Don't Spread It Around,41a6292597678d3574b24106fd0dd3c198133fa6?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnDon't Spread It Around,
Barbara Lynn,It's Better To Have It,dbffa055a0736cf91988d2328fc87add957c0b0a?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnIt's Better To Have It,
Barbara Lynn,Oh! Baby (We Got a Good Thing Goin'),dd029c67f7dff8a71d4938130acc3935713785fb?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnOh! Baby (We Got A Good Thing Goin'),
Barbara Lynn,Second Fiddle Girl,df6c9093208aaefc8db5d83ffdc4f6a02661d21a?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnSecond Fiddle Girl,
Barbara Lynn,This Is The Thanks I Get,aaf65d57db8ab1bf92bdf23e87fa9110f10f1e56?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnThis Is The Thanks I Get,
Barbara Lynn,You'll Lose A Good Thing,be92782bd897c3dd5eb1fe51a11874f83190de6f?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnYou'll Lose A Good Thing,
Barbara Lynn,You're Gonna Need Me,2ff43dc127d78f13849cb6ca62fcf210a662d2be?cid=e5d3592c12cd45889d547046f5344866,Barbara LynnYou're Gonna Need Me,
The Karaoke Channel,(If Loving You is Wrong) I Don't Want to Be Right [Originally Performed by Barbara Mandrell] {Karaoke Version},,Barbara Mandrell(If Loving You Is Wrong) I Don't Want To Be Right,
,,,Barbara MandrellFooled By A Feeling,
Ameritz Karaoke Entertainment,Woman to Woman (In the Style of Barbara Mandrell) [Karaoke Version],,Barbara MandrellWoman To Woman,
Barbara Mason,(I Can Feel Your Love) Slipping Away,0692f0732a4bf399249151bcc57edd0d62138b5b?cid=e5d3592c12cd45889d547046f5344866,Barbara Mason(I Can Feel Your Love) Slipping Away,
Barbara Mason,Bed and Board,4db4db909874c0193354d59e73aa48bc52f55498?cid=e5d3592c12cd45889d547046f5344866,Barbara MasonBed And Board,
Barbara Mason,From His Woman to You,a2b5c51270a907410184072b2f118357448467fc?cid=e5d3592c12cd45889d547046f5344866,Barbara MasonFrom His Woman To You,
Barbara Mason,Give Me Your Love - Remastered,2f80d6447a5026e0f963c51d75ca646f40485fdc?cid=e5d3592c12cd45889d547046f5344866,Barbara MasonGive Me Your Love,
Barbara Mason,I Need Love,96ad54a8546d242efc197215e91dc29874812a4b?cid=e5d3592c12cd45889d547046f5344866,Barbara MasonI Need Love,
Barbara Mason,|If You Don't (Love Me, Tell Me So)|,cc39ed0d5affed9310f5c51da4fafc712ef791e8?cid=e5d3592c12cd45889d547046f5344866,|Barbara MasonIf You Don't (Love Me, Tell Me So)|,
Barbara Mason,Is It Me,e371cc2b75d6d2a145d8f706f506864324b3c276?cid=e5d3592c12cd45889d547046f5344866,Barbara MasonIs It Me?,NULL
Barbara Mason,|Oh, How It Hurts|,4f0562e62b99c2d7df433a12bda88dedf0ac059c?cid=e5d3592c12cd45889d547046f5344866,|Barbara MasonOh, How It Hurts|,
Barbara Mason,Sad Sad Girl,3eda7a60853ee49440fd08e190f7916985da2211?cid=e5d3592c12cd45889d547046f5344866,|Barbara MasonSad, Sad Girl|,
Barbara Mason,Shackin' Up - Remastered,b4fbeeca010eeeff0ece4b65818296ba760b4c3b?cid=e5d3592c12cd45889d547046f5344866,Barbara MasonShackin' Up,
Barbra Streisand & Barry Gibb,Guilty (One In A Million),dee9324f11972aac6f3e7622d22cd2beac156db3?cid=e5d3592c12cd45889d547046f5344866,Barbra Streisand & Barry GibbGuilty,NULL
Barbra Streisand,What Kind of Fool (feat. Barry Gibb),1e232f7c8f54653d86a6b8817a5923a57b93058f?cid=e5d3592c12cd45889d547046f5344866,Barbra Streisand & Barry GibbWhat Kind Of Fool,NULL
Barbra Streisand,I Finally Found Someone (feat. Bryan Adams),447ef8f544b12aa144a069932df316554cd735ee?cid=e5d3592c12cd45889d547046f5344866,Barbra Streisand & Bryan AdamsI Finally Found Someone (From "The Mirror Has Two Faces"),NULL
Barbra Streisand,Till I Loved You (feat. Don Johnson),f434de7822dbc65ff6f2d9565342a8abb056aa62?cid=e5d3592c12cd45889d547046f5344866,Barbra Streisand & Don JohnsonTill I Loved You,NULL
,,36dea5fd8504bfbe5a48b21adb11e11b3343fec8?cid=e5d3592c12cd45889d547046f5344866,Barbra Streisand & Neil DiamondYou Don't Bring Me Flowers,6hacGohCl4dvzLcnbKP0Ma
,,,|Barbra Streisand With Kim CarnesMake No Mistake, He's Mine|,NULL
,,6872909f477e8326e05f869fa43985b7ecac984b?cid=e5d3592c12cd45889d547046f5344866,Barbra Streisand/Donna SummerNo More Tears (Enough Is Enough),1wSPm3y4Lk6ABkVxCmwkZx
Barbra Streisand,All in Love Is Fair,d3aa397f8b4fb5c0241f4634423e7ffa01900b15?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandAll In Love Is Fair,
Barbra Streisand,Comin' In And Out Of Your Life,95408e479c5aa89bc0dee0627cccb786984d6c31?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandComin' In And Out Of Your Life,
Barbra Streisand,Didn't We,1815289dffc179a428b3682c555910b6ee81e096?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandDidn't We,
Barbra Streisand,Emotion,2d7a1743363600c3e09a8ef27ee01aae7cca3231?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandEmotion,
Barbra Streisand,|Evergreen (Love Theme from, "A Star Is Born")|,5ec8010621349da938c31e2b808b8904bfc0ea39?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandEvergreen (Love Theme From "A Star Is Born"),NULL
Barbra Streisand,Hands Off the Man (Flim Flam Man),63dac1a4f8c9a864121e498279de85eeddbe8cd1?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandFlim Flam Man,
Barbra Streisand,Free Again,83968874c8acb652c48c2d64795b7d14f94dce32?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandFree Again,
Barbra Streisand,Funny Girl,3990ba0dd4f2b4c25022257bd233de4410b32d02?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandFunny Girl,
Barbra Streisand,He Touched Me,3052c2640a8883d8b15a08dab639c5d4f71cda46?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandHe Touched Me,
Barbra Streisand,Kiss Me In the Rain,8aa5896dba22748bc294cd2335cae6ed07775967?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandKiss Me In The Rain,
Barbra Streisand,Left In the Dark,d672b1c125809325a38237178bfca8a27e9d2440?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandLeft In The Dark,
Barbra Streisand,|Prisoner (Love Theme from, "The Eyes of Laura Mars")|,0873fd0e1ee1d43411404bf1e6b7553f17af1698?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandLove Theme From "Eyes Of Laura Mars" (Prisoner),NULL
Barbra Streisand,Memory,a492509c3428e3cb87c42f7f3adaf2a497f78f77?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandMemory,NULL
Barbra Streisand,Mother,655ae2b5b3978c3e5db63c4f5532b71062a2ca7f?cid=e5d3592c12cd45889d547046f5344866,Barbra StreisandMother,
