"peak_rank","points","year","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id","preview_url"
36,631,1958,"Eugene Church & The Fellows","Pretty Girls Everywhere","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,158,1958,"Eydie Gorme","Gotta Have Rain","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,13,1958,"Eydie Gorme","Voice In My Heart","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,81,1958,"Eydie Gorme","You Need Hands","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,154,1958,"Faron Young","Alone With You","True",0,"male",5,"Country",2,509397,NULL
92,9,1958,"Fats Domino","Coquette","True",0,"male",5,"Rock",0,16929095,NULL
72,35,1958,"Fats Domino","Little Mary","True",0,"male",6,"Rock",0,8012050,NULL
6,1141,1958,"Fats Domino","Whole Lotta Loving","True",0,"male",7,"Rock",0,484946,NULL
92,9,1958,"Fats Domino","Young School Girl","True",0,"male",5,"Rock",0,16929061,NULL
71,30,1958,"Frank Gallup","Got A Match?","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,436,1958,"Frank Sinatra","Mr. Success","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,770,1958,"Frankie Avalon","Ginger Bread","True",3,"male",6,"Pop",2,9765460,"https://p.scdn.co/mp3-preview/53c7bf46fe753b807c4f070024ab373b409a4f6d?cid=635a94c846854eb29813825c79d704a2"
15,1021,1958,"Frankie Avalon","I'll Wait For You","True",0,"male",5,"Pop",0,9765467,NULL
79,41,1958,"Frankie Avalon","What Little Girl","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,1,1958,"Frankie Vaughan","Judy","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,97,1958,"George Hamilton IV","When Will I Know","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,55,1958,"George Hamilton IV","Your Cheatin' Heart","False",0,"male",3,"Country",0,6067927,NULL
32,233,1958,"Georgia Gibbs","The Hula Hoop Song","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,281,1958,"George Young & The Rockin' Bocs","Nine More Miles (The Faster, Faster Song)","True",0,"male",4,"R&B",2,272589,NULL
